,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
3/1/2018,2.199750955,-0.412877053,-1.005077985,-0.382375968,-0.981995642,0.07904744,0.076687135,-0.526092229,-1.424112737,-1.822500229,-1.06620915
4/1/2018,-0.214067599,-0.456395097,-0.569187484,-0.041237344,-1.548410934,0.33532733,0.214664928,-0.367779234,1.133623673,4.735873098,-0.716201714
5/1/2018,-1.186102458,-1.766188964,-0.114065572,-0.197587372,-3.528027058,-2.398551091,0.410724021,-0.50519539,1.358699337,0.148682594,-0.757459614
6/1/2018,0.749969454,0.161100699,-0.026958112,-0.04268073,-8.06864809,2.103882976,-0.131275465,-2.623050731,0.086483252,0.045307056,-0.890730054
7/1/2018,-0.023025055,-0.384672554,0.014969515,-0.001720996,1.580701911,12.99888652,0.444630923,-5.767632858,-0.160717995,0.71993494,-0.671055037
8/1/2018,-0.592571247,0.081079823,-0.03939376,-0.027320863,0.244565549,4.180759513,-0.864003907,-6.811244882,-0.086904039,0.186468726,-0.323526046
9/1/2018,-0.474325158,1.480911058,-0.102780977,-0.037722436,-0.335116728,-7.156970605,-0.386046586,-5.001126455,-0.436005675,1.224948712,-0.869044275
10/1/2018,-0.555956723,1.534066944,0.390167478,-0.357919483,-0.428222832,-8.443390172,-0.247559874,-3.980923653,0.324375515,0.643316103,-0.108235066
11/1/2018,-0.430377652,0.6395985,-0.07570003,0.26643087,0.530348723,-1.69522449,-0.327903042,-0.282603227,-0.657623675,0.66299397,-0.314593797
12/1/2018,-0.216162368,2.048400481,-0.164779056,-1.841667437,1.400497478,1.324697584,-0.008706641,-0.053134245,0.201649411,3.743474158,-0.965073873
1/1/2019,-0.357900259,0.392379486,-0.124313653,0.350334808,0.538791801,1.037782962,-0.067891313,-0.139367061,-0.370678492,0.726655545,-1.201044009
2/1/2019,0.20499898,1.715912073,0.255908717,5.573647938,0.738952629,-0.164424133,-0.040230959,0.413342358,0.255611238,2.298781975,-1.391900361
3/1/2019,-3.061921542,4.785732299,0.437224391,4.705655562,1.971843183,-0.386194946,-0.233012281,-0.116228638,-0.327608526,-2.196920395,-0.624265118
4/1/2019,-0.518460414,1.32139688,0.113286056,-0.586171676,-0.156888526,-0.807369528,-0.112406738,0.616119405,1.891944004,4.89395606,-0.285827151
5/1/2019,1.723802261,4.295034305,0.072839626,0.259937323,-0.436160564,-0.671181306,-0.338544392,-1.423206101,0.555340306,2.035618782,-0.236543644
6/1/2019,0.320103378,1.07368858,-0.028809157,-0.039935415,6.466523419,-3.162732891,1.066753219,-8.201577228,0.076039088,1.42871751,-0.928230496
